luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,N,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,L,M,S,bkg_label,R,L_delta,M_delta,S_delta,R_delta,col_dir_label,sensitivity,L_delta_norm,M_delta_norm,S_delta_norm
20,4,93,64,1.25,6.25,1,-2.20631599565451,robson1966,5,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.0868266887957965,0.0375428431811346,0.00256902176272163,NaN,NA,160.811089999999,0.917533494872012,0.396730735551049,0.02714791441484
20,5.65685424949238,93,64,1.25,6.25,1,-2.08839134833664,robson1966,7.07106781186547,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.113914205761339,0.0492551682243638,0.00337048524759816,NaN,NA,122.572021399999,0.917533494872012,0.396730735551049,0.02714791441484
20,8,93,64,1.25,6.25,1,-1.87839311480316,robson1966,10,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.184746457689798,0.0798822042566942,0.00546626477380766,NaN,NA,75.5776031699996,0.917533494872012,0.396730735551049,0.02714791441484
20,11.3137084989848,93,64,1.25,6.25,1,-1.66841506954593,robson1966,14.1421356237309,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.299608524140888,0.129547216340434,0.00886479525466037,NaN,NA,46.6031282199998,0.917533494872012,0.396730735551049,0.02714791441484
20,16,93,64,1.25,6.25,1,-1.38218598324263,robson1966,20,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.579139586340639,0.250413173317124,0.0171355400234349,NaN,NA,24.1093767299998,0.917533494872012,0.396730735551049,0.02714791441484
20,22.6274169979695,93,64,1.25,6.25,1,-1.04523390524473,robson1966,28.2842712474619,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,1.25815842346244,0.544012964725206,0.0372263000657354,NaN,NA,11.09772363,0.917533494872012,0.396730735551049,0.02714791441484
20,29.8570557291778,93,64,1.25,6.25,1,-0.527390010902302,robson1966,37.3213196614723,-1,6.06286626604159,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,4.14552199685298,1.79247515240188,0.122657403794398,NaN,NA,3.368139037,0.917533494872012,0.396730735551049,0.02714791441484
20,0.5,93,64,1.25,6.25,1,-1.69172241053119,robson1966,0.625,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.283953237259571,0.122778053672913,0.00840158776330547,NaN,NA,49.1725137599997,0.917533494872012,0.396730735551049,0.02714791441484
20,0.707106781186547,93,64,1.25,6.25,1,-1.68808347746946,robson1966,0.883883476483184,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.286342463724945,0.123811127210068,0.00847228002245692,NaN,NA,48.7622208900005,0.917533494872012,0.396730735551049,0.02714791441484
20,1,93,64,1.25,6.25,1,-1.68759895929574,robson1966,1.25,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.286662098335462,0.12394933347158,0.008481737348101,NaN,NA,48.7078499300004,0.917533494872012,0.396730735551049,0.02714791441484
20,1.4142135623731,93,64,1.25,6.25,1,-1.69030923259054,robson1966,1.76776695296637,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.284878715352863,0.123178219559761,0.00842897074192142,NaN,NA,49.0127682899999,0.917533494872012,0.396730735551049,0.02714791441484
20,2,93,64,1.25,6.25,1,-1.66759239814948,robson1966,2.5,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.30017660172428,0.129792846433252,0.00888160349294389,NaN,NA,46.5149328300005,0.917533494872012,0.396730735551049,0.02714791441484
20,2.82842712474619,93,64,1.25,6.25,1,-1.69569949680408,robson1966,3.53553390593274,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.281364782973749,0.121658836359873,0.00832500076587053,NaN,NA,49.6248831099997,0.917533494872012,0.396730735551049,0.02714791441484
20,4,93,64,1.25,6.25,1,-1.61584989937298,robson1966,5,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.338157742441004,0.146215446782807,0.0100053867262736,NaN,NA,41.2904769399999,0.917533494872012,0.396730735551049,0.02714791441484
20,5.65685424949238,93,64,1.25,6.25,1,-1.47570302980284,robson1966,7.07106781186547,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.46694551140592,0.201901769513245,0.0138159498818186,NaN,NA,29.9021922799999,0.917533494872012,0.396730735551049,0.02714791441484
20,8,93,64,1.25,6.25,1,-1.30376975189936,robson1966,10,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,0.693744387973255,0.299966947106856,0.0205264585715213,NaN,NA,20.1265692500002,0.917533494872012,0.396730735551049,0.02714791441484
20,11.3137084989848,93,64,1.25,6.25,1,-1.10016110126118,robson1966,14.1421356237309,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,1.10868490249785,0.479382365134986,0.0328036883822267,NaN,NA,12.5939249599999,0.917533494872012,0.396730735551049,0.02714791441484
20,16,93,64,1.25,6.25,1,-0.82662033360756,robson1966,20,-1,16,0,0,180,NaN,grating,13.9626944663427,6.03730553365729,0.413127189896983,CR_Oscilloscope,NaN,2.08136813422999,0.899959200901718,0.0615833692063011,NaN,NA,6.708421368,0.917533494872012,0.396730735551049,0.02714791441484
