col_dir_id,L_delta,M_delta,S_delta,dataset,R_delta,col_dir_label
59,-0.804424342027081,0.59350773303756,0.0254960541832251,kong2018,NaN,uv_0
60,-0.462343135429944,0.733104327763004,0.498795418719902,kong2018,NaN,uv_45
61,0.307732831168646,0.456676835937203,0.834713586890327,kong2018,NaN,uv_90
62,0.850610628450092,-0.218569451827206,0.478214338446365,kong2018,NaN,uv_135
63,-0.804424342027077,0.593507733037566,0.0254960541832284,kong2018,NaN,uv_0
64,-0.58821016633642,0.71885300191241,0.37048503594612,kong2018,NaN,uv_45
65,0.871052847855366,-0.315524287880655,0.376445693295146,kong2018,NaN,uv_90
66,0.850845425479531,-0.512623771657923,0.115234242618072,kong2018,NaN,uv_135
67,-0.804424342027077,0.593507733037565,0.0254960541832291,kong2018,NaN,uv_0
68,-0.686583915022909,0.685377048456082,0.242612508089429,kong2018,NaN,uv_45
69,0.662478302522348,0.126064711340842,0.738397039025522,kong2018,NaN,uv_90
70,0.858623113750415,-0.490263870987044,0.149691968182469,kong2018,NaN,uv_135
71,-0.804424342027078,0.593507733037564,0.0254960541832275,kong2018,NaN,uv_0
72,-0.670908399475944,0.692497953949827,0.265195217317225,kong2018,NaN,uv_45
73,-0.0179567564792134,0.636849545734237,0.770778963772911,kong2018,NaN,uv_90
74,0.874872252614681,-0.383502283494765,0.29584546668694,kong2018,NaN,uv_135
75,-0.804424342027083,0.593507733037558,0.025496054183228,kong2018,NaN,uv_0
76,-0.537368830411347,0.727740016572524,0.426179784106852,kong2018,NaN,uv_45
77,0.793162218909571,-0.0755696739662108,0.604303664452804,kong2018,NaN,uv_90
78,0.867166667122089,-0.456654439863478,0.198717623741181,kong2018,NaN,uv_135
79,-0.804424342027079,0.593507733037563,0.0254960541832283,kong2018,NaN,uv_0
80,-0.650779556091314,0.700529986980418,0.292820263497605,kong2018,NaN,uv_45
81,0.567485990948597,0.234833297499124,0.789185005219167,kong2018,NaN,uv_90
82,0.867486884091254,-0.455056461922537,0.200972939452529,kong2018,NaN,uv_135
83,-0.804424342027084,0.593507733037556,0.0254960541832253,kong2018,NaN,uv_0
84,-0.55654601475173,0.724940481382236,0.405854446713669,kong2018,NaN,uv_45
85,0.402367959214392,0.385684860826438,0.830269362030743,kong2018,NaN,uv_90
86,0.874097547356328,-0.348573649260621,0.33830443205312,kong2018,NaN,uv_135
87,-0.804424342027076,0.593507733037568,0.0254960541832287,kong2018,NaN,uv_0
88,-0.613526540790096,0.712533775738138,0.340412693915035,kong2018,NaN,uv_45
89,0.849653588784294,-0.215328388891787,0.481375595562589,kong2018,NaN,uv_90
90,0.855642938339252,-0.499455436976022,0.135718195336007,kong2018,NaN,uv_135
92,0.915457274335702,0.400879890723359,0.0351182584914808,virsu1979,NaN,NA
93,0.917533494872012,0.396730735551049,0.02714791441484,robson1966,NaN,NA
95,0.915457274335702,0.400879890723359,0.0351182584914808,virsu1982,NaN,NA
96,0.917533494872012,0.396730735551049,0.02714791441484,snowden1995,NaN,NA
99,0.917533494872012,0.396730735551049,0.02714791441484,wright1983,NaN,NA
102,-0.1095,0.6714,0.733,vanderHorst1969_b,NaN,yb
103,0.7873,-0.6132,-0.0649,vanderHorst1969_b,NaN,rbg
104,0.8101,-0.5861,-0.0114,vanderHorst1969_b,NaN,rg
105,0.904788433511642,0.419896446537257,0.0710272114680906,hdr_csf_disc,NaN,C1
106,0.762860488743917,-0.646494144848118,-0.00944433112997181,hdr_csf_disc,NaN,C2
107,0.450449715432405,0.274890824273731,0.84942927227461,hdr_csf_disc,NaN,C3
108,0.766925216033909,-0.069427763901823,0.637969825784053,hdr_csf_disc,NaN,C4
109,-0.0906177317785786,0.632741846000858,0.769042380501057,hdr_csf_disc,NaN,C5
110,0.920237208107341,0.35142827109546,0.172225581983812,hdr_csf_disc,NaN,C6
111,0.844691543097658,0.500503498113539,0.189716750434451,hdr_csf_disc,NaN,C7
114,0.904788434,0.419896447,0.071027211,hansen2009,NaN,C1
115,0.762860489,-0.646494145,-0.009444331,hansen2009,NaN,C2
116,0.450449715,0.274890824,0.849429272,hansen2009,NaN,C3
111,-0.762860489,0.646494145,0.009444331,hansen2009,NaN,C-2
110,-0.450449715,-0.274890824,-0.849429272,hansen2009,NaN,C-3
