observer,age,luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,sensitivity
obs_5,23,20,4,10,6,0.5,0.785398163397448,-2.040794138,hdr_csf,2,-1,0,0,0,180,0.0111019333168746,gabor,109.848501787797
obs_5,23,20,4,11,6,0.5,0.785398163397448,-1.606886955,hdr_csf,2,-1,0,0,0,180,0.00750034719698263,gabor,40.4470596024231
obs_5,23,20,6,9,6,0.333333333333333,0.349065850398866,-1.36538688,hdr_csf,2,-1,0,0,0,180,0.0259967262121531,gabor,23.194599607978
obs_5,23,20,6,10,6,0.333333333333333,0.349065850398866,-1.828747444,hdr_csf,2,-1,0,0,0,180,0.00929831480749376,gabor,67.4135882313798
obs_5,23,20,6,11,6,0.333333333333333,0.349065850398866,-1.435670757,hdr_csf,2,-1,0,0,0,180,0.00562977200655984,gabor,27.2690970141191
obs_5,23,20,0.5,9,6,1,3.14159265358979,-1.439833518,hdr_csf,0.5,-1,0,0,0,180,0.00626182206905224,gabor,27.5317310247929
obs_5,23,20,0.5,10,6,1,3.14159265358979,-2.435816518,hdr_csf,0.5,-1,0,0,0,180,0.021796814834697,gabor,272.782507982692
obs_5,23,20,0.5,11,6,1,3.14159265358979,-1.588135135,hdr_csf,0.5,-1,0,0,0,180,0.0170522690004399,gabor,38.7378162696284
obs_5,23,20,1,9,6,0.5,0.785398163397448,-1.366582044,hdr_csf,0.5,-1,0,0,0,180,0.0132232338701928,gabor,23.2585182869742
obs_5,23,20,1,10,6,0.5,0.785398163397448,-2.434702895,hdr_csf,0.5,-1,0,0,0,180,0.0240328164315756,gabor,272.083931910228
obs_5,23,20,1,11,6,0.5,0.785398163397448,-1.329134248,hdr_csf,0.5,-1,0,0,0,180,0.00884525864247267,gabor,21.3370437645769
obs_5,23,20,2,9,6,0.25,0.196349540849362,-1.541723741,hdr_csf,0.5,-1,0,0,0,180,0.0154551801441458,gabor,34.8115804696906
obs_5,23,20,2,10,6,0.25,0.196349540849362,-2.047844921,hdr_csf,0.5,-1,0,0,0,180,0.00803551738775021,gabor,111.646450655132
obs_5,23,20,2,11,6,0.25,0.196349540849362,-1.295736184,hdr_csf,0.5,-1,0,0,0,180,0.015381639353717,gabor,19.7576907721176
obs_5,23,20,4,9,6,0.125,0.0490873852123405,-1.459849194,hdr_csf,0.5,-1,0,0,0,180,0.0123974658850697,gabor,28.8303021536333
obs_5,23,20,4,10,6,0.125,0.0490873852123405,-1.58198533,hdr_csf,0.5,-1,0,0,0,180,0.00676367271424239,gabor,38.1931369391711
obs_5,23,20,4,11,6,0.125,0.0490873852123405,-1.096331479,hdr_csf,0.5,-1,0,0,0,180,0.00737175885704664,gabor,12.4833595387536
obs_5,23,20,6,9,6,0.0833333333333333,0.0218166156499291,-0.999280967,hdr_csf,0.5,-1,0,0,0,180,0.00606007382879598,gabor,9.98345735139834
obs_5,23,20,6,10,6,0.0833333333333333,0.0218166156499291,-1.456559492,hdr_csf,0.5,-1,0,0,0,180,0.0119986713577589,gabor,28.612742865633
obs_5,23,20,6,11,6,0.0833333333333333,0.0218166156499291,-0.938525925,hdr_csf,0.5,-1,0,0,0,180,0.0113783909379659,gabor,8.68012391327639
obs_7,23,20,0.5,9,6,1,3.14159265358979,-1.391917089,hdr_csf,0.5,-1,0,0,0,180,0.00775686240591389,gabor,24.6556859150676
obs_7,23,20,0.5,10,6,1,3.14159265358979,-2.347174126,hdr_csf,0.5,-1,0,0,0,180,0.00555356840657174,gabor,222.420148309312
obs_7,23,20,0.5,11,6,1,3.14159265358979,-1.642218017,hdr_csf,0.5,-1,0,0,0,180,NaN,gabor,43.8750896632352
obs_7,23,20,1,9,6,0.5,0.785398163397448,-1.614174089,hdr_csf,0.5,-1,0,0,0,180,0.0204539901288855,gabor,41.1314565454649
obs_7,23,20,1,10,6,0.5,0.785398163397448,-2.308505887,hdr_csf,0.5,-1,0,0,0,180,0.00811699750983705,gabor,203.472577701942
obs_7,23,20,1,11,6,0.5,0.785398163397448,-1.208772734,hdr_csf,0.5,-1,0,0,0,180,0.00943285473126023,gabor,16.1723351899659
obs_7,23,20,2,9,6,0.25,0.196349540849362,-1.617387948,hdr_csf,0.5,-1,0,0,0,180,0.00780836772473057,gabor,41.4369659033612
obs_7,23,20,2,10,6,0.25,0.196349540849362,-1.944194216,hdr_csf,0.5,-1,0,0,0,180,0.00764252749360816,gabor,87.9415702613535
obs_7,23,20,2,11,6,0.25,0.196349540849362,-0.972517494,hdr_csf,0.5,-1,0,0,0,180,0.00961067255856878,gabor,9.38679847271166
obs_7,23,20,4,9,6,0.125,0.0490873852123405,-1.571683797,hdr_csf,0.5,-1,0,0,0,180,0.0078120964501083,gabor,37.2978499117783
obs_7,23,20,4,10,6,0.125,0.0490873852123405,-1.49628917,hdr_csf,0.5,-1,0,0,0,180,0.00788295017208205,gabor,31.3537268139165
obs_7,23,20,4,11,6,0.125,0.0490873852123405,-0.823341433,hdr_csf,0.5,-1,0,0,0,180,0.0204877035900285,gabor,6.65796385326566
obs_7,23,20,6,9,6,0.0833333333333333,0.0218166156499291,-1.093895667,hdr_csf,0.5,-1,0,0,0,180,0.0132282102202978,gabor,12.4135405431922
obs_7,23,20,6,10,6,0.0833333333333333,0.0218166156499291,-1.289399277,hdr_csf,0.5,-1,0,0,0,180,0.00831340926233265,gabor,19.4714940829719
obs_7,23,20,6,11,6,0.0833333333333333,0.0218166156499291,-0.600746302,hdr_csf,0.5,-1,0,0,0,180,NaN,gabor,3.98791875552452
obs_7,23,200,0.5,9,7,1,3.14159265358979,-1.224380716,hdr_csf,0.5,-1,0,0,0,180,0.0221991886226633,gabor,16.7641182662152
obs_7,23,200,0.5,10,7,1,3.14159265358979,-2.717995343,hdr_csf,0.5,-1,0,0,0,180,0.00672348115082579,gabor,522.390587302322
obs_7,23,200,0.5,11,7,1,3.14159265358979,-1.803984964,hdr_csf,0.5,-1,0,0,0,180,0.0122916455457264,gabor,63.6773474365525
obs_7,23,200,1,9,7,0.5,0.785398163397448,-1.636807115,hdr_csf,0.5,-1,0,0,0,180,0.00673248817098963,gabor,43.3318384162383
obs_7,23,200,1,10,7,0.5,0.785398163397448,-2.689718195,hdr_csf,0.5,-1,0,0,0,180,0.00803955869463654,gabor,489.461114779212
obs_7,23,200,1,11,7,0.5,0.785398163397448,-1.740435631,hdr_csf,0.5,-1,0,0,0,180,0.00736919224840409,gabor,55.0092382470885
obs_7,23,200,2,9,7,0.25,0.196349540849362,-1.601752374,hdr_csf,0.5,-1,0,0,0,180,0.0172496774809926,gabor,39.9716774288876
obs_7,23,200,2,10,7,0.25,0.196349540849362,-2.415770372,hdr_csf,0.5,-1,0,0,0,180,0.00939617078126202,gabor,260.477594178681
obs_7,23,200,2,11,7,0.25,0.196349540849362,-1.33243885,hdr_csf,0.5,-1,0,0,0,180,0.00650644524401941,gabor,21.5000193113627
obs_7,23,200,4,9,7,0.125,0.0490873852123405,-1.654466608,hdr_csf,0.5,-1,0,0,0,180,0.0113166877917,gabor,45.1301324386162
obs_7,23,200,4,10,7,0.125,0.0490873852123405,-1.848186955,hdr_csf,0.5,-1,0,0,0,180,0.00975310749486417,gabor,70.4996490399474
obs_7,23,200,4,11,7,0.125,0.0490873852123405,-0.890523316,hdr_csf,0.5,-1,0,0,0,180,0.0286209236188017,gabor,7.7718304235719
obs_7,23,200,6,9,7,0.0833333333333333,0.0218166156499291,-1.379217074,hdr_csf,0.5,-1,0,0,0,180,0.00757654016059648,gabor,23.945123096789
obs_7,23,200,6,10,7,0.0833333333333333,0.0218166156499291,-1.442386614,hdr_csf,0.5,-1,0,0,0,180,0.018536521720863,gabor,27.6940590574635
obs_7,23,200,6,11,7,0.0833333333333333,0.0218166156499291,-0.982467128,hdr_csf,0.5,-1,0,0,0,180,0.0173886527205731,gabor,9.60433119898285
obs_7,23,2,0.5,9,5,1,3.14159265358979,-1.47714445,hdr_csf,0.5,-1,0,0,0,180,0.00893225640554186,gabor,30.0016023159907
obs_7,23,2,0.5,10,5,1,3.14159265358979,-2.208609828,hdr_csf,0.5,-1,0,0,0,180,0.00955927748590586,gabor,161.66270004964
obs_7,23,2,0.5,11,5,1,3.14159265358979,-1.191131493,hdr_csf,0.5,-1,0,0,0,180,0.0175832641542261,gabor,15.5285710326812
obs_7,23,2,1,9,5,0.5,0.785398163397448,-1.447620811,hdr_csf,0.5,-1,0,0,0,180,0.00954700281764694,gabor,28.0298524095407
obs_7,23,2,1,10,5,0.5,0.785398163397448,-1.964622593,hdr_csf,0.5,-1,0,0,0,180,0.0104068567164796,gabor,92.1770050014282
obs_7,23,2,1,11,5,0.5,0.785398163397448,-1.015567593,hdr_csf,0.5,-1,0,0,0,180,0.00585188585005264,gabor,10.3649591068586
obs_7,23,2,2,9,5,0.25,0.196349540849362,-1.468166612,hdr_csf,0.5,-1,0,0,0,180,NaN,gabor,29.3877686310894
obs_7,23,2,2,10,5,0.25,0.196349540849362,-1.269920085,hdr_csf,0.5,-1,0,0,0,180,0.0234098419759383,gabor,18.6174452350672
obs_7,23,2,2,11,5,0.25,0.196349540849362,-0.692527952,hdr_csf,0.5,-1,0,0,0,180,0.0151898926813636,gabor,4.92638049429674
obs_7,23,2,4,9,5,0.125,0.0490873852123405,-0.8802065,hdr_csf,0.5,-1,0,0,0,180,0.0077895576888483,gabor,7.58938352158664
obs_7,23,2,4,11,5,0.125,0.0490873852123405,-0.76650647,hdr_csf,0.5,-1,0,0,0,180,0.0066839653674816,gabor,5.84125909175492
obs_7,23,2,6,9,5,0.0833333333333333,0.0218166156499291,-0.562296613,hdr_csf,0.5,-1,0,0,0,180,0.0123695346548352,gabor,3.65003150452858
